Périmètre;Titre;Genre / famille;Joueurs max;Type multijoueur;Déroulement;Affichage;Drop-in;Multitap;Année;Région;Développeur;Éditeur;Validation;Confiance;Remarques;Source FE-Metadata;Source OpenVGDB / référence
Base principale (275);Championship Bowling;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Feb ;USA;Soft Machine;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586098-championship-bowling
Base principale (275);Championship Pool;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;Bitmasters;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586099-championship-pool
Base principale (275);Chi Chi's Pro Challenge Golf;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Mar ;USA;Soft Machine;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/570457-chi-chis-pro-challenge-golf
Base principale (275);Davis Cup World Tour;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug ;USA, Europe;Loriciels;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586131-davis-cup-tennis
Complément (107);Devil's Course;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;Japan;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);ESPN SpeedWorld;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586163-espn-speed-world
Base principale (275);IMG International Tour Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;May ;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586555-img-international-tour-tennis
Base principale (275);Jack Nicklaus' Power Challenge Golf;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA, Europe;Microsmiths Inc.;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586247-jack-nicklaus-power-challenge-golf
Base principale (275);Jennifer Capriati Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug ;USA;System Sacom;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586254-jennifer-capriati-tennis
Base principale (275);Jimmy White's Whirlwind Snooker;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;Europe;Virgin Interactive;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/941827-jimmy-whites-whirlwind-snooker
Base principale (275);Olympic Gold;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Europe;Tiertex Design Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586354-olympic-gold-barcelona-92
Base principale (275);PGA European Tour;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Polygon Games;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586377-pga-european-tour
Base principale (275);PGA Tour 96;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;NuFX;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586381-pga-tour-96
Complément (107);PGA Tour Golf;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA, Europe;Sterling Silver Software;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586378-pga-tour-golf
Complément (107);PGA Tour Golf II;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA, Europe;Polygon Games;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586379-pga-tour-golf-ii
Complément (107);PGA Tour Golf III;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Polygon Games;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586380-pga-tour-golf-iii
Base principale (275);Pebble Beach Golf Links;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;T&E Soft;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586373-pebble-beach-golf-links
Complément (107);Pete Sampras Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Codemasters;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586376-pete-sampras-tennis
Complément (107);Pete Sampras Tennis '96;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Codemasters;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586376-pete-sampras-tennis
Base principale (275);Skitchin';Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA, Europe;Electronic Arts;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586462-skitchin
Base principale (275);Speedball 2: Brutal Deluxe;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA;Bitmap Brothers;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586477-speedball-2-brutal-deluxe
Complément (107);Super Volleyball;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA;Micronics;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586511-super-volleyball
Complément (107);The Aquatic Games Starring James Pond;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);The Games: Summer Challenge;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);The Games: Winter Challenge;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Wimbledon Championship Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;Sims;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586600-wimbledon-championship-tennis
Complément (107);Wimbledon Championship Tennis II;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;Sims;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586600-wimbledon-championship-tennis
Complément (107);Winter Olympics: Lillehammer '94;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Brett Hull Hockey '95;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;Radical Entertainment;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586075-brett-hull-hockey-95
Base principale (275);EA Hockey;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;Europe;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586347-nhl-hockey
Base principale (275);ESPN National Hockey Night;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug1;USA;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586162-espn-national-hockey-night
Base principale (275);Mario Lemieux Hockey;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA, Europe;Ringler Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586303-mario-lemieux-hockey
Base principale (275);NHL '94;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Marc;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/367012-nhl-94
Base principale (275);NHL 95;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/915999-nhl-95
Base principale (275);NHL 96;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/916000-nhl-96
Base principale (275);NHL 97;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586348-nhl-97
Base principale (275);NHL 98;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1997;USA;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/564282-nhl-98
Base principale (275);NHL Hockey;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586347-nhl-hockey
Complément (107);NHLPA Hockey '93;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA, Europe;Park Place Productions;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586349-nhlpa-hockey-93
Complément (107);Olympic Hockey 98;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1998;USA;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Wayne Gretzky and the NHLPA All-Stars;Hockey;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;Time Warner Interactive;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586592-wayne-gretzky-and-the-nhlpa-all-stars
Base principale (275);Bubsy II;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1994;USA, Europe;Accolade;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586080-bubsy-ii
Base principale (275);Bubsy in: Claws Encounters of the Furred Kind;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1993;USA, Europe;Accolade;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586079-bubsy-in-claws-encounters-of-the-furred-kind
Base principale (275);Kid Chameleon;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;May ;USA, Europe;Sega;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586273-kid-chameleon
Base principale (275);Pac-Mania;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1991;USA, Europe;Sculptured Software;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586368-pac-mania
Base principale (275);Paperboy;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1991;Japan;MotiveTime, Ltd.;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586370-paperboy
Base principale (275);Paperboy 2;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;Jun1;USA, Europe;Tengen;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586371-paperboy-2
Base principale (275);Richard Scarry's Busytown;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1994;USA;Novotrade;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586419-richard-scarrys-busytown
Base principale (275);TaleSpin;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1992;USA, Europe;Interactive Designs;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586519-disneys-talespin
Base principale (275);The Berenstain Bears' Camping Adventure;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1993;USA;Realtime Associates;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586059-berenstain-bears-camping-adventure
Base principale (275);Toki: Going Ape Spit;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;1991;World;Santos;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586548-toki-going-ape-spit
Base principale (275);Wonder Boy III: Monster Lair;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;Apr ;Japan, Europe;Aicom;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/581777-wonder-boy-iii-monster-lair
Base principale (275);Yogi Bear: Cartoon Capers;Plateforme / action alternée;2;Alterné / coopération selon titre;Alterné;Même écran;Non documenté;Non documenté;;Europe;;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Action 52;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1993;USA;Farsight Technologies;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/915587-action-52
Base principale (275);Blockout;Puzzle / plateau / quiz;2;Versus;Simultané;Même écran;Non documenté;Non documenté;1991;World;California Dreams;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586068-blockout
Base principale (275);Clue;Puzzle / plateau / quiz;6;Compétitif / hotseat;Alterné;Même écran;Non documenté;Oui;1992;USA;Sculptured Software;;Confirmé FE-Metadata;Élevée;Jusqu’à 6 joueurs selon le titre/adaptateur;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586111-clue
Base principale (275);Columns;Puzzle / plateau / quiz;2;Versus;Simultané;Même écran;Non documenté;Non documenté;Jun ;World;Sega;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586114-columns
Base principale (275);Columns III: Revenge of Columns;Puzzle / plateau / quiz;5;Versus;Simultané;Même écran;Non documenté;Oui;1993;USA, Japan;;;Confirmé FE-Metadata;Élevée;"Jusqu’à 5 joueurs selon le titre/adaptateur; Métadonnées bibliographiques complétées manuellement ou non disponibles";https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Dr. Robotnik's Mean Bean Machine;Puzzle / plateau / quiz;2;Versus;Simultané;Même écran;Non documenté;Non documenté;1993;Europe;Compile;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/563321-dr-robotniks-mean-bean-machine
Base principale (275);Exodus: Journey to the Promised Land;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1993;USA;Wisdom Tree;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586168-exodus-journey-to-the-promised-land
Base principale (275);Family Feud;Puzzle / plateau / quiz;2;Compétitif / hotseat;Alterné;Même écran;Non documenté;Non documenté;1993;USA;Eurocom Entertainment Software;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586173-family-feud
Base principale (275);Frogger;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1998;USA;Morning Star Multimedia;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/918687-frogger
Complément (107);Fun 'n Games;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1993;Europe;Leland Interactive Media;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586195-fun-n-games
Base principale (275);Huan Le Tao Qi Shu: Smart Mouse;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;;China;;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Jeopardy!;Puzzle / plateau / quiz;3;Compétitif / hotseat;Alterné;Même écran;Non documenté;Oui;Dece;USA;Park Place Productions;;Confirmé FE-Metadata;Élevée;Jusqu’à 3 joueurs selon le titre/adaptateur;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586255-jeopardy
Base principale (275);Jeopardy!: Deluxe Edition;Puzzle / plateau / quiz;3;Compétitif / hotseat;Alterné;Même écran;Non documenté;Oui;Jun ;USA;Park Place Productions;;Confirmé FE-Metadata;Élevée;Jusqu’à 3 joueurs selon le titre/adaptateur;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586256-jeopardy-deluxe-edition
Complément (107);Jeopardy!: Sports Edition;Puzzle / plateau / quiz;3;Compétitif / hotseat;Alterné;Même écran;Non documenté;Oui;May ;USA;Park Place Productions;;Candidat complémentaire – à vérifier;À vérifier;Jusqu’à 3 joueurs selon le titre/adaptateur;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586257-jeopardy-sports-edition
Base principale (275);Joshua & the Battle of Jericho;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1992;USA;Wisdom Tree;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586265-joshua-and-the-battle-of-jericho
Base principale (275);Klax;Puzzle / plateau / quiz;2;Versus;Simultané;Même écran;Non documenté;Non documenté;Sep6;USA, Europe;Tengen;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586277-klax
Complément (107);Lemmings;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1992;Europe;SunSoft;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586283-lemmings
Complément (107);Lemmings 2: The Tribes;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1994;USA;Digital Developments;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586284-lemmings-2-the-tribes
Base principale (275);Marble Madness;Puzzle / plateau / quiz;2;Alterné ou versus;À confirmer;Même écran;Non documenté;Non documenté;1993;USA, Europe;Electronic Arts;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586301-marble-madness
Complément (107);Monopoly;Puzzle / plateau / quiz;2;Compétitif / hotseat;Alterné;Même écran;Non documenté;Non documenté;1992;USA;Sculptured Software;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586329-monopoly
